CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-6-1,17,11,6,12,9,6,100,84,68,1011,1007,1005,24,22,1,40,16,53,0.00,7,Rain,360<br />
2001-6-2,17,11,6,9,8,6,100,77,59,1015,1013,1011,24,24,24,24,14,34,0.00,4,,27<br />
2001-6-3,19,11,3,9,4,0,100,61,28,1019,1017,1015,24,24,24,29,11,35,0.00,1,,84<br />
2001-6-4,22,12,3,6,3,0,81,52,31,1022,1020,1019,24,24,24,24,11,29,0.00,1,,76<br />
2001-6-5,21,14,8,8,6,2,71,51,35,1020,1019,1018,24,24,24,32,16,40,0.00,5,,116<br />
2001-6-6,19,16,13,12,11,9,88,74,63,1019,1019,1017,24,24,24,27,14,34,0.00,7,Rain,155<br />
2001-6-7,22,17,13,14,13,12,94,75,53,1019,1018,1017,24,24,24,21,11,29,0.00,6,Rain,174<br />
2001-6-8,25,18,11,15,13,10,100,73,47,1017,1014,1012,24,24,24,21,11,27,0.00,5,Rain-Thunderstorm,171<br />
2001-6-9,29,19,9,13,11,9,100,60,30,1012,1009,1004,24,24,24,16,8,,0.00,3,Fog,232<br />
2001-6-10,28,22,16,15,13,10,88,57,35,1005,1004,1002,24,24,24,26,11,,0.00,6,Rain-Thunderstorm,1<br />
2001-6-11,25,20,15,17,11,6,88,57,36,1005,1002,1001,24,23,16,32,18,47,0.00,4,Rain,264<br />
2001-6-12,22,16,10,13,9,4,77,64,46,1010,1008,1005,24,24,24,26,14,35,0.00,4,,322<br />
2001-6-13,18,16,13,14,12,10,94,83,77,1010,1007,1005,24,23,10,32,16,35,0.00,8,Rain,35<br />
2001-6-14,16,14,13,14,13,12,100,91,82,1005,1001,994,24,14,2,42,21,64,0.00,8,Rain,7<br />
2001-6-15,15,12,10,13,10,8,100,89,67,1007,998,994,24,16,3,52,26,63,0.00,8,Rain,272<br />
2001-6-16,16,12,8,9,7,5,94,75,51,1020,1015,1008,24,24,16,29,16,37,0.00,6,,307<br />
2001-6-17,21,12,4,10,6,2,100,64,40,1022,1019,1014,24,24,19,14,6,,0.00,2,,193<br />
2001-6-18,18,14,10,14,10,7,94,76,55,1014,1010,1008,24,24,24,34,18,40,0.00,7,Rain,308<br />
2001-6-19,18,13,9,11,9,7,94,73,52,1020,1015,1011,24,24,24,24,18,34,0.00,4,Rain,291<br />
2001-6-20,20,13,7,11,8,5,100,73,40,1024,1022,1020,24,24,24,19,6,,0.00,5,Rain,351<br />
2001-6-21,24,14,4,11,8,3,100,67,41,1025,1023,1019,24,24,24,16,6,32,0.00,2,,234<br />
2001-6-22,25,19,13,12,11,9,82,57,38,1019,1015,1010,24,24,24,35,21,48,0.00,4,,201<br />
2001-6-23,30,23,16,21,16,11,83,66,43,1009,1006,1005,24,23,5,29,23,45,0.00,5,Rain-Thunderstorm,173<br />
2001-6-24,30,22,15,24,18,13,88,74,58,1011,1008,1006,24,24,24,35,16,37,0.00,5,Rain,59<br />
2001-6-25,26,23,20,23,21,19,100,88,74,1009,1006,1002,24,21,1,29,11,34,0.00,5,Fog-Rain-Thunderstorm,193<br />
2001-6-26,22,18,15,19,14,12,100,76,60,1024,1019,1010,24,24,24,24,14,29,0.00,2,,318<br />
2001-6-27,19,16,13,16,14,12,100,90,77,1027,1024,1020,24,16,4,32,18,39,0.00,8,Rain-Thunderstorm,52<br />
2001-6-28,28,22,16,23,19,15,100,91,74,1018,1012,1010,24,16,2,26,18,,0.00,8,Rain-Thunderstorm,75<br />
2001-6-29,27,22,17,20,18,16,100,82,57,1013,1011,1009,24,24,24,35,13,37,0.00,3,Fog,270<br />
2001-6-30,17,12,7,15,7,3,94,73,48,1027,1021,1013,24,24,24,35,21,45,0.00,4,,343<br />
2001-7-1,19,11,4,9,6,3,100,67,45,1029,1026,1022,24,24,24,14,10,,0.00,3,,243<br />
2001-7-2,23,18,13,16,12,8,88,72,61,1021,1015,1012,24,24,24,24,13,,0.00,6,Rain,207<br />
2001-7-3,24,18,13,17,14,12,100,78,50,1015,1013,1012,24,24,16,27,11,,0.00,3,Rain-Thunderstorm,285<br />
